Object,Star,Star_type,Mass (M?),Radius (R?),Flux,Planet_Temp(K),Period (days),Distance(ly),Refs_Notes,Distance_mother_star(AU),Tem_Star(K),Absolute_magnitud,Radio_Star(m),Albedo,Solar_Flux (W/m^2),Star_radio(AU),Distance_Star_planet(m),Produc_Entropy,Planet_Diameter (m)
Earth,SunÃ‚Â (Sol),G2V,1,1,1,255,365.24,,[14],1,5772,-3.586866863,696000000,0.296020308,1362.208672,0.004652406,1.50E+11,1.24,12742
Teegarden's Star b,Teegarden's Star,M7V,1.05,,1.15,264,4.91,12.58,[15],0.0252,"2,637",,91176000,0.313029042,1.018407201,0.000609465,3780000000,1.07721,0
TOI 700 d,TOI 700,M2V,1.72,1.14,0.87,246,37.4,101,,0.178,3480,-3.276606687,292320000,0.17116215,31.75074409,0.001954011,26700000000,1.07721,14525.88
K2-72e,K2-72,M?V,2.21,1.29,1.11,261,24.2,217,[16],0.106,3360.4733,-4.191025461,230368344,0.310316969,17.14617568,0.001539895,15900000000,1.54433,16437.18
TRAPPIST-1d,TRAPPIST-1,M8V,0.3,0.78,1.04,258,4.05,39,Confirmed to be rocky[17][18],0.02228038,2566,-3.198191106,82963200,0.34014336,0.75599247,0.000554567,3342057000,1.31665,9938.76
Proxima Centauri b,Proxima Centauri,M5V,1.27,1.3,0.7,228,11.186,4.25,[20],0.0485,3042,-4.540459338,107184000,0.421572032,2.492393624,0.000716471,7275000000,0.934401,16564.6
Gliese 1061 d,Gliese 1061,M5V,1.64,,0.69,218,13,12,,0.052,3500,,100920000,0.642291567,3.872099716,0.000674599,7800000000,0.921492,0
Gliese 1061 c,Gliese 1061,M5V,1.74,,1.45,275,6.7,12,,0.035,3500,,100920000,0.589641549,3.872099716,0.000674599,5250000000,1.81485,0
Ross 128 b,Ross 128,M4V,1.4,1.1,1.48,280,9.87,11.03,[21],0.0496,3192,,136903200,0.304271287,4.929451541,0.000915128,7440000000,1.65491,
Luyten b,Luyten's Star,M3V,2.89,1.35,1.06,258,18.65,12.36,[22],0.091101,"3,150",-4.660329429,243600000,0.436555028,14.80187236,0.001628342,13665150000,1.36833,17201.7
TRAPPIST-1e,TRAPPIST-1,M8V,0.77,0.91,0.67,230,6.1,39,Confirmed to be rocky[17][18],0.02928285,2566,-3.322650836,82963200,0.280254316,0.75599247,0.000554567,4392427500,0.611097,11595.22
Kepler-442b,Kepler-442,K?V,1.34,1.35,0.7,233,112.3,1193,[1],0.409,4402,-4.343211593,417600000,0.325980679,165.8979444,0.002791444,61350000000,0.955927,17201.7
Wolf 1061c,Wolf 1061,M3V,3.41,1.6,1.3,271,17.9,13.8,[1],0.08427,3342,-4.931485886,213672000,0.398959811,14.42915452,0.001428289,12640500000,0.707171,20387.2
Gliese 667 Cc,Gliese 667Ã‚Â C,M1V,3.81,1.54,0.88,247,28.1,23.62,[23][1],0.1251,"3,700",-5.732445041,528960000,0.900557267,132.8533261,0.003535829,18765000000,2.32377,19622.68
TRAPPIST-1f,TRAPPIST-1,M8V,0.93,1.05,0.38,200,9.2,39,Confirmed to be rocky[17][18],0.037,2566,-3.852344254,82963200,0.342873455,0.75599247,0.000554567,5550000000,0.611097,13379.1
Kepler-62f,Kepler-62,K2V,1.41,1.41,0.41,204,267.3,981,[1][24],0.718,4925,-4.401528076,445440000,0.315317276,295.7489683,0.00297754,1.08E+11,0.638517,17966.22
Teegarden's Star c,Teegarden's Star,M7V,1.11,,0.37,199,11.4,12.58,[15],0.0443,"2,637",,88392000,0.270749902,0.957163903,0.000590856,6645000000,0.5866435,0
Kepler-186f,Kepler-186,M1V,,1.17,0.29,188,129.9,579,[1],0.432,3755,-3.54336216,364008000,0.207753286,66.73927648,0.002433209,64800000000,0.487642,14908.14
Tau Ceti f,Tau Ceti,G8V,3.93,,0.32,190,636.1,12,[1],1.334,"5,344",,551928000,0.164361214,629.4344713,0.003689358,2.00E+11,0.501368,0
TRAPPIST-1g,TRAPPIST-1,M8V,1.15,1.15,0.26,182,12.4,39,Confirmed to be rocky[17][18],0.04687692,2566,-3.817004583,82963200,0.276682004,0.75599247,0.000554567,7031538000,0.449642,14653.3
Kapteyn b*,Kapteyn's Star,M1VI,4.8,1.6,0.43,205,48.6,13,Controversial[25],0.168,"3,570",-4.726436649,202536000,0.33030067,16.88096205,0.00135385,25200000000,0.652462,20387.2
